FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_F1Score,KFold02_F1Score,KFold03_F1Score,KFold04_F1Score,KFold05_F1Score,KFold06_F1Score,KFold07_F1Score,KFold08_F1Score,KFold09_F1Score,KFold10_F1Score,F1Score_Mean,F1Score_SD
Xception+ResNet50_n_feat,ReliefF,No,250,PCC,0.7407,0.8333,0.7273,0.7500,0.7500,0.8125,0.7333,0.8947,0.8571,0.8333,0.7932,0.0569
Xception+ResNet50_n_feat,ReliefF,No,250,J48,0.7097,0.7857,0.8718,0.7500,0.7429,0.8485,0.7742,0.9444,0.8444,0.8889,0.8160,0.0710
Xception+ResNet50_n_feat,ReliefF,No,250,RBF,0.7879,0.8276,0.8824,0.8571,0.8571,0.8824,0.8485,0.9714,0.8889,0.9000,0.8703,0.0460
Xception+ResNet50_n_feat,ReliefF,No,250,LinearSVM,0.8485,0.8000,0.9143,0.9268,0.9444,0.8889,0.9412,1.0000,0.9333,0.9474,0.9145,0.0535
Xception+ResNet50_n_feat,ReliefF,No,250,MLP,0.8235,0.8000,0.9143,0.8261,0.8889,0.8889,0.7647,0.9412,0.9362,0.8947,0.8678,0.0572
Xception+ResNet50_n_feat,ReliefF,No,250,Logistic,0.8485,0.7742,0.9143,0.9268,0.8889,0.8000,0.8824,0.9444,0.8889,0.8889,0.8757,0.0512
Xception+ResNet50_n_feat,ReliefF,No,250,RandomForest,0.8750,0.8462,0.8824,0.8837,0.9444,0.9444,0.8750,0.9444,0.9545,0.9500,0.9100,0.0389
Xception+ResNet50_n_feat,ReliefF,No,250,Adaboost,0.9375,0.8276,0.8000,0.8182,0.8718,0.8889,0.8235,0.9714,0.8571,0.9231,0.8719,0.0545
Xception+ResNet50_n_feat,ReliefF,No,250,Gaussian,0.8966,0.8148,0.8750,0.8000,0.7742,0.8485,0.7742,0.8387,0.8500,0.8649,0.8337,0.0396
VGG16+VGG19_n_feat,ReliefF,No,250,PCC,0.6000,0.4800,0.6286,0.6471,0.7333,0.5625,0.5882,0.7222,0.8095,0.7647,0.6536,0.0969
VGG16+VGG19_n_feat,ReliefF,No,250,J48,0.8000,0.6000,0.7027,0.8421,0.7429,0.6000,0.7429,0.8000,0.8837,0.7222,0.7436,0.0889
VGG16+VGG19_n_feat,ReliefF,No,250,RBF,0.7879,0.8571,0.8649,0.8095,0.8235,0.9143,0.9189,0.9143,0.9524,0.9000,0.8743,0.0515
VGG16+VGG19_n_feat,ReliefF,No,250,LinearSVM,0.7273,0.6923,0.8889,0.8571,0.7742,0.8824,0.8235,0.8571,0.9048,0.8649,0.8272,0.0686
VGG16+VGG19_n_feat,ReliefF,No,250,MLP,0.7500,0.7333,0.7805,0.8000,0.7222,0.8649,0.8293,0.8718,0.8696,0.8000,0.8022,0.0533
